"ID","Etat","Département","Station","Longitude","Latitude","Elevation","Derniere_Activite","Source","Code","Licence","URL_Licence"
"000C1","FR","50","Trelly",-1.42,48.96,45,"2025-11-16T15:20:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"000B9","FR","23","Gouzon",2.238222,46.194031,379,"2014-07-29T00:00:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"000B8","FR","18","Augy-sur-Aubois",2.83,46.77,245,"2024-05-31T13:40:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"000C3","NL","NL","Silvolde",6.39022,51.90425,15,"2025-11-12T23:50:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"000C4","FR","13","Marseille-Corniche",5.3598,43.2747,10,"2025-11-16T15:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"000C7","FR","25","Chenecey-Buillon",5.96,47.14,280,"2025-11-16T15:20:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"000C5","FR","35","Laillé",-1.74551,47.96935,18,"2025-11-16T15:20:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"000C6","FR","44","Saint-Philbert-de-Grand-Lieu",-1.6403,47.0358,19,"2025-11-16T15:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"000C9","FR","69","Sain-Bel",4.59601,45.81679,300,"2025-11-16T15:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"000D3","FR","29","Plounéventer",-4.2,48.5,97,"2025-11-16T15:00:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"000D2","FR","29","Kernoues",-4.347839,48.588354,28,"2025-11-16T15:00:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"000D5","FR","86","Naintré",0.48061,46.75789,62,"2025-11-16T15:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"000BP","FR","24","Périgueux",0.71667,45.18333,83,"2025-11-16T15:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"000F3","FR","34","Agde - Le Grau",3.4651,43.2826,10,"2025-11-16T15:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"000D8","FR","29","Brest",-4.48333,48.4,30,"0000-00-00T00:00:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
