station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0300,2024-07-15 11:00:00,21.8,,,75,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 11:10:00,21.8,,,75,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 11:20:00,22.2,,,75,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 11:30:00,22.7,,,73,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":40.62},liveobjects
STATIC0300,2024-07-15 11:40:00,22.2,,,73,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 11:50:00,23,,,71,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":40.62},liveobjects
STATIC0300,2024-07-15 12:00:00,23,,,71,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":40.62},liveobjects
STATIC0300,2024-07-15 12:10:00,22.6,,,71,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 12:20:00,21.9,,,72,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":40.62},liveobjects
STATIC0300,2024-07-15 12:30:00,22.3,,,73,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":40.62},liveobjects
