station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000UO,2024-11-21 11:50:00,2.6,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-21 12:00:00,2.7,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-21 12:10:00,2.8,,,76,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-21 12:30:00,2.9,,,75,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-21 12:40:00,3.1,,,72,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-21 13:00:00,3.3,,,72,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-21 13:50:00,2.3,,,80,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-21 14:10:00,1.6,,,85,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-21 14:30:00,0.8,,,89,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-21 14:40:00,0.5,,,91,,,,,,,,,,,,,,,,,,,,,,{"rssi":-105,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 14:50:00,0.4,,,92,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-21 15:00:00,0.2,,,93,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":35.9},liveobjects
